expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
topframe_sad_3_delta, 2.08, 1.73, 1.08, 0.00, 0.11, 0.93, 0.23, 0.00, 0.50, 1.17, 0.00, 0.00, 1.16, 0.00, 0.20, 0.32, 0.71, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0
topframe_sad_3_nodelta, 1.43, 2.30, 1.61, 0.14, 0.63, 2.03, 0.00, 0.00, 0.36, 0.43, 0.01, 0.73, 0.00, 0.77, 0.00, 0.38, 0.75, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
10frames_angry_1_+delta, 1.18, 0.12, 0.00, 0.00, 0.00, 2.61, 0.11, 0.26, 0.09, 0.22, 0.40, 0.82, 0.08, 0.00, 1.67, 2.82, 0.60, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
10frames_angry_1_delta, 1.36, 0.31, 0.00, 0.00, 0.00, 1.94, 0.00, 0.00, 0.00, 0.47, 0.63, 1.21, 0.42, 0.00, 1.32, 2.48, 0.28, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_angry_1_nodelta, 1.06, 1.84, 1.61, 0.00, 0.00, 1.66, 0.18, 0.02, 0.31, 0.47, 0.00, 0.16, 0.00, 0.48, 0.75, 2.49, 0.20, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_angry_2_+delta, 1.03, 0.00, 0.00, 0.00, 0.31, 3.16, 0.36, 0.63, 0.41, 0.04, 0.00, 0.52, 0.15, 0.25, 0.91, 2.40, 0.29, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
10frames_angry_2_delta, 0.51, 1.86, 1.43, 0.00, 0.00, 2.36, 0.25, 0.00, 0.32, 1.19, 0.00, 0.14, 0.00, 0.00, 0.35, 1.50, 0.20, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0
10frames_angry_2_nodelta, 1.21, 0.05, 0.00, 0.00, 0.00, 2.54, 0.16, 1.01, 0.38, 0.13, 0.35, 1.34, 0.46, 0.14, 1.38, 2.57, 0.26, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
10frames_angry_3_+delta, 0.71, 0.00, 0.05, 0.00, 0.52, 4.04, 0.89, 0.81, 0.48, 0.26, 0.00, 0.67, 0.37, 0.05, 1.05, 2.15, 0.29, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
10frames_angry_3_delta, 1.55, 0.21, 0.00, 0.00, 0.18, 2.53, 0.11, 1.52, 0.84, 0.46, 0.36, 0.94, 0.16, 0.04, 2.15, 2.60, 0.01, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
